"ticker","n","n_outliers_z","pct_outliers_z","n_outliers_iqr","pct_outliers_iqr","max_abs_zscore","cusum_stat","cusum_pvalue","structural_break"
"SPY",2426,33,1.36,160,6.595,10.143,0.719740802316958,0.678171121640962,FALSE
"TLT",2426,19,0.783,65,2.679,7.737,1.0395266089065,0.230014425008712,FALSE
"GLD",2426,39,1.608,130,5.359,10.511,0.965498170354659,0.308832487800015,FALSE
"BTC-USD",3526,61,1.73,313,8.877,13.082,1.20119298890927,0.111608741829644,FALSE
