"ticker","n","mean","median","sd","skewness","excess_kurtosis","min","max","q01","q05","q95","q99","ann_factor","ann_return","ann_volatility","jb_stat","jb_pvalue","normality"
"SPY",2426,0.000567952174420249,0.000761214001571364,0.0114807967993304,-0.594320252771188,14.9858516109309,-0.115886580043106,0.0998628091253142,-0.0334770164242508,-0.0170427562704056,0.0155295751327991,0.0266072856357142,252,0.143123947953903,0.182251999103367,22843.682474945,0,"RECHAZA normalidad"
"TLT",2426,-0.0000388788359429748,0.000163947704284517,0.00937624229305226,0.0532063989627442,5.14909603374115,-0.0690100530264806,0.0725028080540815,-0.0233241158130195,-0.0148535448766953,0.0145762882667448,0.0236708925877391,252,-0.00979746665762966,0.148843232038214,2681.18625461072,0,"RECHAZA normalidad"
"GLD",2426,0.00053944855940024,0.000752416663643451,0.0103651244481088,-0.727506390631566,8.23385619544235,-0.108412337449647,0.0616473514724492,-0.0308132040761948,-0.0158514351365051,0.0162583442598352,0.027248007703683,252,0.135941036968861,0.164541249587588,7067.08457496394,0,"RECHAZA normalidad"
"BTC-USD",3526,0.00123619439074578,0.000981805958064186,0.0356180097773944,-0.647712993625752,12.117150641158,-0.464730175339774,0.225118954341328,-0.104953312300177,-0.0545090724986643,0.0541547919504981,0.0990874713829477,365,0.451210952622209,0.680481121327723,21817.6345288849,0,"RECHAZA normalidad"
