"date","log_return","price"
2017-01-04,0.00593121228003746,195.122039794922
2017-01-05,-0.000794449270787645,194.967086791992
2017-01-06,0.00357134866341191,195.664627075195
2017-01-09,-0.00330654034857325,195.01872253418
2017-01-10,0,195.01872253418
2017-01-11,0.00282245199385489,195.569931030273
2017-01-12,-0.00251312825100314,195.079055786133
2017-01-13,0.00229284742444236,195.52685546875
2017-01-17,-0.00352977711356051,194.837905883789
2017-01-18,0.00220769732492609,195.268524169922
2017-01-19,-0.00371146307637549,194.545135498047
2017-01-20,0.00366715524383299,195.259872436523
2017-01-23,-0.00260534206197782,194.751815795898
2017-01-24,0.00639114202355451,196.00048828125
2017-01-25,0.00861820503873822,197.696960449219
2017-01-26,-0.0010456777364416,197.490341186523
2017-01-27,-0.00157107267320722,197.180313110352
2017-01-30,-0.00622101790460317,195.957458496094
2017-01-31,-0.0000879945596574672,195.940216064453
2017-02-01,0.00039529180496789,196.017684936523
2017-02-02,0.000658809740034627,196.146865844727
2017-02-03,0.00686925019968321,197.498886108398
2017-02-06,-0.00178932196544057,197.145812988281
2017-02-07,0.0000436517979727213,197.154418945312
2017-02-08,0.00130959620324855,197.412780761719
2017-02-09,0.00591508165640064,198.583953857422
2017-02-10,0.00393847876719722,199.367614746094
2017-02-13,0.00542794278035252,200.452713012695
2017-02-14,0.00398705697391133,201.253524780273
2017-02-15,0.00520691991070521,202.304168701172
2017-02-16,-0.000851608906298651,202.131958007812
2017-02-17,0.00157497452857491,202.450561523438
2017-02-21,0.00593773249399465,203.656234741211
2017-02-22,-0.000888546607985319,203.475357055664
2017-02-23,0.000677088040637486,203.613174438477
2017-02-24,0.00126800635767044,203.871520996094
2017-02-27,0.0015616210479843,204.190139770508
2017-02-28,-0.00270268695509301,203.639022827148
2017-03-01,0.0139004209291516,206.489456176758
2017-03-02,-0.0063173478538987,205.189102172852
2017-03-03,0.00062922329354631,205.318252563477
2017-03-06,-0.00298228021183,204.706848144531
2017-03-07,-0.00299112605446528,204.095458984375
2017-03-08,-0.00185868971996328,203.716461181641
2017-03-09,0.00126758829176676,203.974853515625
2017-03-10,0.00349829224692133,204.689666748047
2017-03-13,0.000504548887739098,204.79296875
2017-03-14,-0.00383409031519033,204.00927734375
2017-03-15,0.00861635615537093,205.774688720703
2017-03-16,-0.00196891676057831,205.369934082031
2017-03-17,-0.00175767593041609,205.00927734375
2017-03-20,-0.00109762223797549,204.784378051758
2017-03-21,-0.0129226609191262,202.155044555664
2017-03-22,0.00235057016305795,202.630783081055
2017-03-23,-0.00106784518248837,202.414520263672
2017-03-24,-0.000726662887860385,202.267486572266
2017-03-27,-0.00102679456526733,202.059906005859
2017-03-28,0.00725038987769189,203.530242919922
2017-03-29,0.000934372033673192,203.720504760742
2017-03-30,0.00317933976146811,204.369232177734
2017-03-31,-0.00233025257645458,203.8935546875
2017-04-03,-0.00174095177903499,203.53889465332
2017-04-04,0.000637170105050266,203.66862487793
2017-04-05,-0.00297701522675808,203.063201904297
2017-04-06,0.00280723281008388,203.634048461914
2017-04-07,-0.00101990036399258,203.426467895508
2017-04-10,0.000594868379952374,203.547515869141
2017-04-11,-0.00119016589246623,203.305404663086
2017-04-12,-0.00439162967608553,202.414520263672
2017-04-13,-0.00651595515715186,201.099884033203
2017-04-17,0.00882094752455487,202.881622314453
2017-04-18,-0.00298880701181581,202.276153564453
2017-04-19,-0.00184028006547354,201.904251098633
2017-04-20,0.00810589027843811,203.547515869141
2017-04-21,-0.00319166875786703,202.898895263672
