"date","log_return","price"
2017-01-04,0.00352414756299435,110.860000610352
2017-01-05,0.0153959468030909,112.580001831055
2017-01-06,-0.00739986280667804,111.75
2017-01-09,0.00819894243091213,112.669998168945
2017-01-10,0.00425120964040815,113.150001525879
2017-01-11,0.00308845135645885,113.5
2017-01-12,0.00360585813950998,113.910003662109
2017-01-13,0.00263015598537297,114.209999084473
2017-01-17,0.0142573866608844,115.849998474121
2017-01-18,-0.00849515963956105,114.870002746582
2017-01-19,-0.000870981624312428,114.769996643066
2017-01-20,0.00243674656351445,115.050003051758
2017-01-23,0.00641137052410734,115.790000915527
2017-01-24,-0.00450104004040508,115.269996643066
2017-01-25,-0.00827564253844315,114.319999694824
2017-01-26,-0.00931545140516921,113.26000213623
2017-01-27,0.00202862894301958,113.48999786377
2017-01-30,0.00422055808840938,113.970001220703
2017-01-31,0.0137680965527167,115.550003051758
2017-02-01,-0.00303364136026385,115.199996948242
2017-02-02,0.00554017525305461,115.839996337891
2017-02-03,0.00250033258284788,116.129997253418
2017-02-06,0.0134287587312167,117.699996948242
2017-02-07,-0.0020411460379588,117.459999084473
2017-02-08,0.00619567738077365,118.190002441406
2017-02-09,-0.00764401134168491,117.290000915527
2017-02-10,0.00263951415027908,117.599998474121
2017-02-13,-0.00682592596717591,116.800003051758
2017-02-14,0.00111237123993835,116.930000305176
2017-02-15,0.00443721735932989,117.449996948242
2017-02-16,0.00534969123760387,118.080001831055
2017-02-17,-0.00339329747261186,117.680000305176
2017-02-21,0.000594654010076745,117.75
2017-02-22,0.00135791975056865,117.910003662109
2017-02-23,0.00869753215772029,118.940002441406
2017-02-24,0.0063694022640588,119.699996948242
2017-02-27,-0.00485717563585109,119.120002746582
2017-02-28,0.000923017540125137,119.230003356934
2017-03-01,-0.00142688175358519,119.059997558594
2017-03-02,-0.0125085786726133,117.580001831055
2017-03-03,-0.000595514021963339,117.51000213623
2017-03-06,-0.00674553985206838,116.720001220703
2017-03-07,-0.00808608656535892,115.779998779297
2017-03-08,-0.00623811789096163,115.059997558594
